difficulty,image,romanized,,audio_recording,translation_hanzi,topic,pronunciation_hanzi,explanation,id,created_date,updated_date,created_by_id,created_by,is_sample
intermediate,,ahi,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%97%D7%99.m4a,אחי,兄弟,slang,阿 hi,俚语，用来称呼朋友或任何人，类似英语里的'bro'。不一定真的是兄弟。可以像‘哥们儿’一样用的。,6a3d76bf9ab921c25ea1654d,2026-06-25 18:43:12,2026-06-25 20:38:28,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ahot,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%97%D7%95%D7%AA.m4a,אחות,姐妹,daily,阿后特,如果想说“我的姐妹”要说 “阿后体” ahoti.,6a3ea39dde603ecc64e89125,2026-06-26 16:06:54,2026-06-26 16:06:54,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,agvaniya,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%A2%D7%92%D7%91%D7%A0%D7%99%D7%99%D7%94.m4a,עגבניה,西红柿,food,阿格瓦尼娅,,6a3ea657eba303645aaa3db9,2026-06-28 16:00:00,2026-06-28 16:00:00,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ani,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%A0%D7%99.m4a,אני,我,daily,阿尼,,6a3ea657eba303645aaa3d72,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ani ayef,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%A0%D7%99%20%D7%A2%D7%99%D7%99%D7%A3.m4a,אני עייף,我很累（男的）,daily, ,,6a3ea657eba303645aaa3d7d,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ani oleh lishon,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%A0%D7%99%20%D7%94%D7%95%D7%9C%D7%9A%20%D7%9C%D7%99%D7%A9%D7%95%D7%9F.m4a,אני הולך לישון,我去睡觉,daily,阿尼 霍列赫 丽顺,,6a3ea657eba303645aaa3d79,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,ani same‘ah me’od,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%A0%D7%99%20%D7%A9%D7%9E%D7%97%20%D7%9E%D7%90%D7%95%D7%93.m4a,אני שמח מאוד,我很高兴,daily,阿尼 萨梅阿赫 梅奥德,,6a3ea657eba303645aaa3d7a,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,arba,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%A8%D7%91%D7%A2.m4a,ארבע,四,numbers,阿尔巴,,,2026-06-28 15:38:07,2026-06-28 15:38:07,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,asur,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%A1%D7%95%D7%A8.m4a,אסור,禁止,rules,阿苏尔,例如：asur le'ashen (禁止吸烟),6a3ea657eba303645aaa3dad,2026-06-28 15:28:43,2026-06-28 15:28:43,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
beginner,,at,https://github.com/fflushmail/xibo/raw/refs/heads/main/%D7%90%D7%AA.m4a,את,你 （对女生）,daily,阿特,,6a3ea657eba303645aaa3d73,2026-06-28 12:11:24,2026-06-28 12:11:24,6a3d744fb60a7a4c61d29100,elianahaddad12@gmail.com,FALSE
